Month,Typhoons
2000-1,0
2000-2,0
2000-3,0
2000-4,0
2000-5,1
2000-6,0
2000-7,3
2000-8,1
2000-9,1
2000-10,1
2000-11,2
2000-12,1
2001-1,0
2001-2,1
2001-3,0
2001-4,0
2001-5,1
2001-6,1
2001-7,3
2001-8,0
2001-9,1
2001-10,0
2001-11,1
2001-12,1
2002-1,1
2002-2,0
2002-3,1
2002-4,0
2002-5,0
2002-6,0
2002-7,3
2002-8,1
2002-9,0
2002-10,0
2002-11,0
2002-12,0
2003-1,0
2003-2,0
2003-3,0
2003-4,1
2003-5,1
2003-6,2
2003-7,2
2003-8,2
2003-9,1
2003-10,1
2003-11,2
2003-12,1
2004-1,0
2004-2,0
2004-3,0
2004-4,0
2004-5,1
2004-6,3
2004-7,1
2004-8,0
2004-9,1
2004-10,0
2004-11,3
2004-12,1
2005-1,0
2005-2,0
2005-3,1
2005-4,0
2005-5,1
2005-6,0
2005-7,1
2005-8,1
2005-9,1
2005-10,0
2005-11,2
2005-12,0
2006-1,1
2006-2,0
2006-3,0
2006-4,0
2006-5,1
2006-6,0
2006-7,3
2006-8,1
2006-9,1
2006-10,1
2006-11,2
2006-12,1
2007-1,0
2007-2,0
2007-3,0
2007-4,0
2007-5,0
2007-6,0
2007-7,0
2007-8,3
2007-9,2
2007-10,0
2007-11,3
2007-12,0
2008-1,0
2008-2,0
2008-3,0
2008-4,1
2008-5,2
2008-6,1
2008-7,3
2008-8,3
2008-9,3
2008-10,0
2008-11,3
2008-12,0
2009-1,1
2009-2,1
2009-3,0
2009-4,1
2009-5,2
2009-6,1
2009-7,3
2009-8,1
2009-9,3
2009-10,2
2009-11,1
2009-12,0
2010-1,0
2010-2,0
2010-3,0
2010-4,0
2010-5,0
2010-6,0
2010-7,2
2010-8,1
2010-9,0
2010-10,1
2010-11,0
2010-12,0
2011-1,0
2011-2,0
2011-3,0
2011-4,0
2011-5,2
2011-6,1
2011-7,2
2011-8,1
2011-9,2
2011-10,2
2011-11,0
2011-12,1
2012-1,0
2012-2,0
2012-3,0
2012-4,0
2012-5,0
2012-6,2
2012-7,2
2012-8,2
2012-9,1
2012-10,2
2012-11,0
2012-12,2
2013-1,2
2013-2,1
2013-3,0
2013-4,0
2013-5,0
2013-6,4
2013-7,1
2013-8,2
2013-9,1
2013-10,2
2013-11,3
2013-12,0
2014-1,2
2014-2,0
2014-3,1
2014-4,0
2014-5,0
2014-6,1
2014-7,1
2014-8,0
2014-9,2
2014-10,0
2014-11,1
2014-12,2
2015-1,1
2015-2,0
2015-3,0
2015-4,1
2015-5,1
2015-6,0
2015-7,1
2015-8,1
2015-9,1
2015-10,2
2015-11,0
2015-12,2
2016-1,0
2016-2,0
2016-3,0
2016-4,0
2016-5,0
2016-6,1
2016-7,1
2016-8,0
2016-9,1
2016-10,2
2016-11,1
2016-12,1
2017-01,1
2017-02,0
2017-03,0
2017-04,1
2017-05,0
2017-06,0
2017-07,1
2017-08,1
2017-09,1
2017-10,2
2017-11,1
2017-12,2
2018-01,1
2018-02,1
2018-03,0
2018-04,0
2018-05,0
2018-06,2
2018-07,1
2018-08,0
2018-09,2
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,0
2019-03,1
2019-04,0
2019-05,0
2019-06,0
2019-07,1
2019-08,3
2019-09,2
2019-10,0
2019-11,2
2019-12,2
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,0
2020-10,3
2020-11,2
2020-12,1
2021-01,1
2021-02,1
2021-03,0
2021-04,1
2021-05,1
2021-06,1
2021-07,0
2021-08,0
2021-09,3
2021-10,1
2021-11,0
2021-12,1
2022-01,0
2022-02,0
2022-03,0
2022-04,1
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,1
2022-10,1
2022-11,0
2022-12,0
2023-1,0
2023-2,0
2023-3,0
2023-4,0
2023-5,0
2023-6,1
2023-7,0
2023-8,0
2023-9,0
2023-10,0
2023-11,0
2023-12,0
